Name,Link
obama,http://millercenter.org/president/obama/speeches/2012-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/nominee-acceptance-speech-at-2012-democratic-national-convention
obama,http://millercenter.org/president/obama/speeches/nominee-acceptance-speech-at-2012-democratic-national-convention
obama,http://millercenter.org/president/obama/speeches/nominee-acceptance-speech-at-2012-democratic-national-convention
obama,http://millercenter.org/president/obama/speeches/nominee-acceptance-speech-at-2012-democratic-national-convention
obama,http://millercenter.org/president/obama/speeches/2012-election-night-victory-speech
obama,http://millercenter.org/president/obama/speeches/2012-election-night-victory-speech
obama,http://millercenter.org/president/obama/speeches/2012-election-night-victory-speech
obama,http://millercenter.org/president/obama/speeches/2012-election-night-victory-speech
obama,http://millercenter.org/president/obama/speeches/remarks-on-sandy-hook-elementary-shootings
obama,http://millercenter.org/president/obama/speeches/remarks-on-sandy-hook-elementary-shootings
obama,http://millercenter.org/president/obama/speeches/remarks-on-sandy-hook-elementary-shootings
obama,http://millercenter.org/president/obama/speeches/remarks-on-sandy-hook-elementary-shootings
obama,http://millercenter.org/president/obama/speeches/second-inaugural-address
obama,http://millercenter.org/president/obama/speeches/second-inaugural-address
obama,http://millercenter.org/president/obama/speeches/second-inaugural-address
obama,http://millercenter.org/president/obama/speeches/second-inaugural-address
obama,http://millercenter.org/president/obama/speeches/remarks-on-immigration-reform
obama,http://millercenter.org/president/obama/speeches/remarks-on-immigration-reform
obama,http://millercenter.org/president/obama/speeches/remarks-on-immigration-reform
obama,http://millercenter.org/president/obama/speeches/remarks-on-immigration-reform
obama,http://millercenter.org/president/obama/speeches/2013-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2013-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2013-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2013-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/statement-on-the-government-sequester
obama,http://millercenter.org/president/obama/speeches/statement-on-the-government-sequester
obama,http://millercenter.org/president/obama/speeches/statement-on-the-government-sequester
obama,http://millercenter.org/president/obama/speeches/statement-on-the-government-sequester
obama,http://millercenter.org/president/obama/speeches/address-to-the-people-of-israel
obama,http://millercenter.org/president/obama/speeches/address-to-the-people-of-israel
obama,http://millercenter.org/president/obama/speeches/address-to-the-people-of-israel
obama,http://millercenter.org/president/obama/speeches/address-to-the-people-of-israel
obama,http://millercenter.org/president/obama/speeches/speech-on-gun-violence
obama,http://millercenter.org/president/obama/speeches/speech-on-gun-violence
obama,http://millercenter.org/president/obama/speeches/speech-on-gun-violence
obama,http://millercenter.org/president/obama/speeches/speech-on-gun-violence
obama,http://millercenter.org/president/obama/speeches/remarks-on-trayvon-martin
obama,http://millercenter.org/president/obama/speeches/remarks-on-trayvon-martin
obama,http://millercenter.org/president/obama/speeches/remarks-on-trayvon-martin
obama,http://millercenter.org/president/obama/speeches/remarks-on-trayvon-martin
obama,http://millercenter.org/president/obama/speeches/remarks-on-education-and-the-economy
obama,http://millercenter.org/president/obama/speeches/remarks-on-education-and-the-economy
obama,http://millercenter.org/president/obama/speeches/remarks-on-education-and-the-economy
